Irish,EU NonIreland,UK,US,NonEU NonUS,Age,30+,Male1,Rank UGI,Top 50,51-100,101-200,>200,NoRank,UG Business Studies,Grade,Grade 1st YN,Number of years,Accepted position
0,1,1,0,0,45,1,1,1,1,0,0,0,0,1,1,1,4,0
0,0,0,1,0,30,1,0,1,1,0,0,0,0,0,1,1,5,0
0,1,1,0,0,44,1,1,3,1,0,0,0,0,1,2,0,4,1
0,1,1,0,0,29,0,1,3,1,0,0,0,0,0,2,0,4,0
0,0,0,1,0,27,0,1,3,1,0,0,0,0,1,2,0,3,0
0,0,0,1,0,24,0,1,21,1,0,0,0,0,0,2,0,1,0
0,0,0,1,0,21,0,1,29,1,0,0,0,0,0,1,1,2,1
0,0,0,0,1,29,0,0,37,1,0,0,0,0,1,1,1,3,0
0,1,0,0,0,23,0,0,38,1,0,0,0,0,1,2,0,1,1
0,1,0,0,0,26,0,1,45,1,0,0,0,0,1,2,0,2,0
0,0,0,1,0,25,0,0,46,1,0,0,0,0,1,2,0,2,1
0,1,1,0,0,28,0,0,51,0,1,0,0,0,1,2,0,4,1
0,1,1,0,0,27,0,1,55,0,1,0,0,0,1,2,0,3,0
0,1,1,0,0,27,0,0,55,0,1,0,0,0,1,2,0,2,1
0,1,0,0,0,25,0,1,66,0,1,0,0,0,0,2,0,3,0
0,0,0,1,0,23,0,0,73,0,1,0,0,0,0,2,0,3,1
0,1,0,0,0,32,1,1,88,0,1,0,0,0,0,1,1,4,0
0,1,0,0,0,26,0,0,88,0,1,0,0,0,0,2,0,3,1
0,1,1,0,0,26,0,0,106,0,0,1,0,0,0,1,1,7,0
0,1,0,0,0,32,1,1,121,0,0,1,0,0,0,2,0,2,0
0,1,0,0,0,26,0,0,121,0,0,1,0,0,1,2,0,3,1
0,1,0,0,0,23,0,0,152,0,0,1,0,0,1,2,0,1,1
0,1,0,0,0,35,1,1,152,0,0,1,0,0,0,2,0,2,0
1,0,0,0,0,32,1,1,161,0,0,1,0,0,1,2,0,3,1
1,0,0,0,0,45,1,1,161,0,0,1,0,0,1,2,0,1,1
1,0,0,0,0,22,0,0,161,0,0,1,0,0,1,1,1,3,0
1,0,0,0,0,25,0,1,161,0,0,1,0,0,1,2,0,2,1
1,0,0,0,0,24,0,1,161,0,0,1,0,0,0,2,0,4,0
1,0,0,0,0,28,0,0,161,0,0,1,0,0,1,2,0,3,1
